2026-02-14 21:15:15.755 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.814 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:15.904 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:16.665 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (analyzer_signals): {'message': "Could not find the table 'public.analyzer_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:16.709 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (analyzer_signals): {'message': "Could not find the table 'public.analyzer_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:16.768 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (analyzer_signals): {'message': "Could not find the table 'public.analyzer_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:16.814 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (analyzer_signals): {'message': "Could not find the table 'public.analyzer_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:16.872 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (analyzer_signals): {'message': "Could not find the table 'public.analyzer_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:16.942 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (analyzer_signals): {'message': "Could not find the table 'public.analyzer_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:17.001 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (analyzer_signals): {'message': "Could not find the table 'public.analyzer_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:17.065 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (analyzer_signals): {'message': "Could not find the table 'public.analyzer_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:17.116 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (analyzer_signals): {'message': "Could not find the table 'public.analyzer_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:17.176 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (analyzer_signals): {'message': "Could not find the table 'public.analyzer_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:20.089 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (context_analysis): {'message': "Could not find the table 'public.context_analysis' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:26.352 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (context_analysis): {'message': "Could not find the table 'public.context_analysis' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:26.901 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (decisions): {'message': "Could not find the table 'public.decisions' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:26.990 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (decisions): {'message': "Could not find the table 'public.decisions' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:27.041 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (decisions): {'message': "Could not find the table 'public.decisions' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:27.096 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (decisions): {'message': "Could not find the table 'public.decisions' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
